ATTACK_ID,DATE,LOCATION ,DESCRIPTION,DATA_SOURCES,TYPE,AFFILIATION,AFFLIATION_CLAIMED?,PART_OF,OFFICIAL_OR_INSPIRED,MUSLIM_MAJORITY_NATION,TOTAL_DEATHS,TOTAL_CASUALITIES,CHILD_DEATHS,CHILD_CASUALTIES,FORCED_TO_FLEE,ECONOMIC_COST,ORGANIZED_OR_REACTIVE,WEAPON_USED,MODUS_OPERANDI,SURVEILLED,PRIOR SUSPICION,ACTED_ALONE_OR_IN_GROUP
20160325IRA,2016-03-25,Iraq,"30 people killed and 95 injured after a suicide bomber blew himself up at a football stadium in Iskandariya, south of Baghdad. ISIL claimed responsibility for the attack.[226][227]",http://www.aljazeera.com/news/2016/03/suicide-attack-kills-dozens-football-stadium-iraq-160325181900028.html      http://www.abc.net.au/news/2016-03-26/football-pitch-suicide-attack-kills-30-south-of-baghdad/7277422,Suicide Bomb,IS,TRUE,IS,official ,True ,31,125,0,0,0,0,organized,Bomb,suicide bomb ,FALSE,,alone
20160322BEL,2016-03-22,Belgium,2016 Brussels bombings includes two suicide bombings in Brussels Airport and one bombing in Brussels Metro that resulted in 35 deaths and more than 300 wounded.[223],http://www.cnn.com/2016/03/28/europe/brussels-investigation/index.html                        http://www.cnn.com/2016/03/23/europe/brussels-belgium-attacks-what-we-know/,Suicide Bomb,IS,TRUE,IS,OFFICIAL,FALSE,35,335,0,0,0,0,organized,Bomb,"suicide bomb, bomb",TRUE ,FALSE ,group
20160320IRA,2016-03-20,Iraq,"In Anbar, Iraq, ISIL suicide bombers kill at least 24 at municipal building[222]",http://www.ibtimes.co.uk/isis-offensive-kills-least-24-iraqi-troops-suicide-bombing-more-us-marines-dispatched-1550641,Suicide Bomb,IS,TRUE,IS,OFFICIAL ,TRUE,24,24,0,0,0,0,ORGANIZED,Bomb,SUICIDE BOMB,TRUE,,group
20160313IVO,2016-03-13,Ivory Coast,"In the 2016 Grand-Bassam shootings Al Qaeda gunmen stormed 3 hotels in the beach resort city of Grand-Bassam in the Ivory Coast, leaving 18 people dead.[221]",http://www.cnn.com/2016/03/14/africa/ivory-coast-attack/index.html,Shooting,Al-Qaeda,TRUE,WEST AFRICAN CONFLICT,OFFICIAL,FALSE,22,45,0,0,0,0,ORGANIZED ,Firearms,"SHOOTING, ATTACK",FALSE,,GROUP
20160130NIG,2016-01-30,Nigeria,"Boko Haram gunmen raided a Nigerian village, at least 65 people were killed and 136 others injured.[220]",http://edition.cnn.com/2016/01/31/africa/boko-haram-raid-dalori-village/index.html,"SHOOTING, RAID",IS,TRUE,IS,OFFICIAL,TRUE,65,200+,0,0,0,0,ORGANIZED,Firearms,"SHOOTING, RAID",FALSE,,GROUP
20160125CAM,2016-01-25,Cameroon,"Suspected Boko Haram insurgents have blown themselves up in a market in Cameroon, killing at least 25 people and injuring 62 others.[219]",http://edition.cnn.com/2016/01/25/world/cameroon-boko-haram-attack,SUICIDE BOMBING ,IS,TRUE ,IS,OFFICIAL,FALSE,28,87,0,0,0,0,ORGANIZED,Bomb,SUICIDE BOMB,FALSE,,GROUP
20160122SOM,2016-01-22,Somalia,Al-Shabab attack on beachside restaurant leaves 20 dead.[218],"http://www.bbc.com/news/world-africa-35377484
https://www.theguardian.com/world/2016/jan/22/somalia-lido-beach-mogadishu-tweetlidopictures-alshabaab",BOMBING AND SHOOTING ,Al-Qaeda,TRUE,EAST AFRICAN CONFLICT,OFFICIAL,TRUE ,21,55+,1,1,0,0,ORGANIZED,"Firearms, Bomb","SHOOTING, ATTACK",,,GROUP
20160121PAK,2016-01-21,Pakistan,"At least 22 killed in attack on Bacha Khan University, Pakistan. The Taliban claim responsibility for the attack.[217]","https://en.wikipedia.org/wiki/Bacha_Khan_University_attack
http://edition.cnn.com/2016/01/20/asia/pakistan-university-militant-attack/
http://www.bbc.com/news/world-asia-35359072","SHOOTING, RAID",Tehrik- I- TALIBAN,FALSE,Pakistan Internal Conflict,OFFICIAL,TRUE,22,39,0,0,0,0,,"GRENADES, FIREARMS","SHOOTING, RAID",,,GROUP
20160115SOM,2016-01-15,Somalia,"In the El Adde attack, Al-Shabaab terrorists attack a African Union Kenyan army base in El-Adde. 63+ killed, several injured.[215]","http://www.aljazeera.com/news/2016/01/al-shabab-attacks-african-union-base-somalia-160115070814884.html
http://www.voanews.com/a/al-shabab-attacks-african-union-base-in-somalia/3147027.html","Car Bomb, Shooting Assault",Al-Shabab,TRUE,EAST AFRICAN CONFLICT,OFFICIAL,TRUE,40,40,0,0,,,,"Bombs, Firearms","Car Bomb, Assault",,,GROUP
20160115BUR,2016-01-15,Burkina Faso,"In the 2016 Ouagadougou attack Islamist gunmen armed with heavy weapons attacked the Cappuccino restaurant and the Splendid Hotel in the heart ofOuagadougou, the capital of Burkina Faso. 20+ killed. 15+ injured.[216]","http://www.france24.com/en/20160115-shots-explosions-heard-hotel-burkina-faso-capital-ouagadougou
http://www.cnn.com/2016/01/16/africa/burkina-faso-hotel-terrorist-attack/
http://www.bbc.com/news/world-africa-35342908
https://www.theguardian.com/world/2016/jan/15/security-forces-battle-suspected-jihadists-in-burkina-faso-capital",Shooting,AlQaeda,TRUE,WEST AFRICAN CONFLICT,OFFICIAL ,TRUE,27,42,1,1,0,0,ORGANIZED,"FIREARMS, EXPLOSIVES","ATTACK, SHOOTING, HOSTAGES",,,GROUP
20160114INO,2016-01-14,Indonesia,In the 2016 Jakarta attacks 4 assailants kill 2 and injure 24 in a terrorist attack in Jakarta. The attack was orchestrated and financed from ISIL in Syria.[214],http://edition.cnn.com/2016/01/15/asia/jakarta-gunfire-explosions/index.html,"Suicide Bombing, Shooting",IS,TRUE,IS,OFFICIAL ,TRUE,7,31,0,0,0,0,,"Firearms, Bombs, Grenades","Shooting, Bombing",TRUE,TRUE,GROUP
20160112TUR,2016-01-12,Turkey,In the 2016 Istanbul bombing an ISIL suicide bomber kills 10 tourists and injures 15 more in the historical centre of Istanbul.[213],"https://en.wikipedia.org/wiki/January_2016_Istanbul_bombing#cite_note-thelocal-1 
https://en.wikipedia.org/wiki/List_of_terrorist_incidents_in_January_2016 
https://www.osac.gov/pages/ContentReportDetails.aspx?cid=19093 
http://www.pri.org/stories/2016-03-22/paris-there-have-been-hundreds-terrorist-attacks-many-have-gone-unnoticed",Suicide bomb,IS,FALSE,IS,OFFICIAL ,TRUE,14,28,0,0,0,0,ORGANIZED,Bomb,SUICIDE BOMB,TRUE,,ALONE
20160111AFG,2016-01-11,Afghanistan,"Anti-government militants fired a rocket at a primary school in Bak District, Khost Province, killing three students and wound eight others. No group claimed responsibility.[28]","https://en.wikipedia.org/wiki/List_of_terrorist_incidents_in_January_2016
http://www.khaama.com/sartaj-aziz-proposes-to-incentivise-taliban-to-help-revive-direct-peace-talks-1971
http://www.rferl.org/content/afghanistan-school-attack-students-killed/27481144.html
http://www.reuters.com/article/us-afghanistan-attack-idUSKCN0UP13H20160111",Rocket attack/mortar bomb,Unknown,FALSE,Afghanistan Civil War,INSPIRED,TRUE,3,11,3,11,0,0,,Rocket,Rocket attack/mortar bomb,,,GROUP
20160111FRA,2016-01-11,France,A 15-year old Turkish ISIL supporter attacked a teacher from a Jewish school in Marseille with a machete. 1 injured.[211],"https://www.theguardian.com/world/2016/jan/11/teenager-machete-attacks-jewish-teacher-marseille

https://www.theguardian.com/world/2016/jan/11/teenager-machete-attacks-jewish-teacher-marseille

https://en.wikipedia.org/wiki/List_of_terrorist_incidents_in_January_2016#cite_note-25",Melee Attack,IS,FALSE,IS,INSPIRED,FALSE,0,1,0,0,0,0,,Machete,SLASHING,FALSE,FALSE,ALONE
20160111IRA1,2016-01-11,Iraq,"ISIL gunmen detonate suicide vests in a shopping mall, killing at least 20 and wounding more than 40 people.[212]","http://www.france24.com/en/20160111-iraq-baghdad-mall-attack-islamic-state-group  https://en.wikipedia.org/wiki/List_of_terrorist_incidents_in_January_2016#cite_note-25  http://finance.yahoo.com/news/baghdad-mall-attack-over-least-12-dead-officials-172718859.htmlhttp://www.aljazeera.com/news/2016/01/baghdad-jawhara-mall-attack-160111154400651.html
http://www.cnn.com/2016/01/11/middleeast/iraq-bombings-isis/
http://www.understandingwar.org/sites/default/files/Iraq%20SITREP%202016-01-11_1.pdf
http://pafi.org/diyala-war-crimes-and-increased-sectarian-violence/",Suicide bomb (vest)/Shooting/Car bomb,IS,TRUE,Iraqi Civil War,OFFICIAL ,TRUE,35+,90+,1,1,0,0,Organized,Explosives/Firearms/Suicide vest/Possible RPG,Coordinated SUICIDE BOMBING(vest)/CAR BOMB/SHOOTING,?,?,GROUP
20160111IRA2,2016-01-11,Iraq,"A double blast at a cafe north of the Iraqi capital claimed another 20 lives in the late afternoon in the town of Muqdadiyah northeast of Baghdad. A suicide bomber detonated an explosives-rigged vehicle after people gathered at the scene. IS claimed the attack and named the suicide bomber as Abu Abdallah, an Iraqi. The security officers said that Shiites set alight several Sunni homes and a mosque following the attack.[27]","https://en..org/wiki/January_2016_Iraq_attacks  https://en.wikipedia.org/wiki/List_of_terrorist_incidents_in_January_2016#cite_note-25
http://www.reuters.com/article/us-mideast-crisis-iraq-violence-idUSKCN0UP1R420160111
https://www.washingtonpost.com/world/sectarian-violence-hits-key-iraqi-province-after-islamic-state-attack/2016/01/18/b2e674e6-bd7a-11e5-98c8-7fab78677d51_story.html
http://finance.yahoo.com/news/baghdad-mall-attack-over-least-12-dead-officials-172718859.html
http://www.middleeasteye.net/news/gunmen-take-over-baghdad-shopping-centre-deadly-attack-447596227
http://pafi.org/diyala-war-crimes-and-increased-sectarian-violence/","Bombing, Suicide Bomb",IS,TRUE,Iraqi Civil War,OFFICIAL ,TRUE,55+,106+,Unkown,Unkown,0,0,Organized,Bomb,"Car explosives, Suicide bomb",,,ALONE
20160111IRA3,2016-01-11,Iraq,"Two huge bomb blasts, one at a teashop and the other at a mosque, killed at least 100 people in the township of Sharaban in Iraq's northern Diyala province.","https://en.wikipedia.org/wiki/January_2016_Iraq_attacks
https://en.wikipedia.org/wiki/List_of_terrorist_incidents_in_January_2016#cite_note-25 
http://rudaw.net/NewsDetails.aspx?pageid=185903
http://www.usatoday.com/story/news/world/2016/06/29/major-terrorist-attacks-year/86492692/
http://distantheartbeats.tumblr.com/post/147454253916 (not sure credibility)",Bombing,IS,TRUE,Iraqi Civil War,OFFICIAL ,TRUE,100+,100+,Unknown,Unkown,0,0,Organized,Bomb,Bombing,,,GROUP
Not sure whether to add this incident,,Iraq,"Sectarian attacks have continued by forces associated with the Iran-backed militias of the Badr Brigades and Asa’ib Ahl al-Haq (League of the Righteous) – attached to the Popular Mobilization Forces – burned an office compound and houses, killing at least 26 people.
7 Sunni mosques were burned (some reports indicate more mosques were targeted)
Local citizens have reported abductions, torture, and summary executions of Sunnis in the area since January 11.
An additional two people, a reporter and cameraman for al-Sharqiya TV, a channel critical of the militias, were killed in the provincial capital of Ba’quba after reporting on the attacks.",http://pafi.org/diyala-war-crimes-and-increased-sectarian-violence/,"Arson, Executions",,,,,,,,,,,,,,,,,GROUP
20160108EGY,2016-01-8,Egypt,In the 2016 Hurghada attack two militants armed with a melee weapon and a signal flare stormed the Bella Vista Hotel. 3 injured.[210],"http://www.ibtimes.com/isis-egypt-hotel-attack-deadly-hurghada-resort-siege-foreign-tourists-claimed-islamic-2257432
https://en.wikipedia.org/wiki/List_of_Islamist_terrorist_attacks#2016
https://en.wikipedia.org/wiki/2016_Hurghada_attack
https://en.wikipedia.org/wiki/List_of_terrorist_incidents_in_January_2016
https://www.rt.com/news/328306-gunmen-fire-hotel-hurghada/",Melee Attack,IS,TRUE,Insurgency in Egypt,OFFICIAL,TRUE,2,5,0,0,0,0,Organized?,"KNIFE (thing used in attack, others assumed to be foiled)/POSSIBLE FIREARMS/SIGNAL FLAIR/POSSILBE SUICIDE DEVICE",Melee Attack,Unkown,Uknown,GROUP
20160107LIB1,2016-01-7,Libya,"In the Zliten truck bombing Islamist militants detonated a truck bomb at the police training camp al-Jahfal in the coastal town of Zliten, Libya. 50+ dead 100+ wounded.[207]","http://www.bbc.com/news/world-africa-35249860
https://en.wikipedia.org/wiki/Zliten_truck_bombing
https://en.wikipedia.org/wiki/List_of_Islamist_terrorist_attacks#2016
https://en.wikipedia.org/wiki/List_of_terrorist_incidents_in_January_2016
http://uk.reuters.com/article/us-libya-security-idUKKBN0UL0XE20160107",Suicide Truck Bombing,IS,TRUE,Second Libyan Civil War,OFFICIAL,TRUE,50+,168+,1,1,0,0,Organized?,Bomb/Truck bomb,Suicide Truck Bomb,Unkown,Uknown,ALONE
20160107FRA,2016-01-7,France,In the January 2016 Paris police station attack an Islamist from Morocco wearing a fake explosive belt attacked police officers with a meat cleaver. He was shot dead.[208],"http://www.bbc.com/news/world-europe-35250344
https://www.theguardian.com/world/2016/jan/07/paris-police-shoot-dead-man-near-police-station
https://en.wikipedia.org/wiki/List_of_Islamist_terrorist_attacks#2016
https://en.wikipedia.org/wiki/List_of_terrorist_incidents_in_January_2016
https://en.wikipedia.org/wiki/January_2016_Paris_police_station_attack
http://www.aljazeera.com/news/2016/01/man-knife-shot-dead-paris-police-station-160107123307177.html
http://www.reuters.com/article/us-france-shooting-idUSKBN0UL1A620160107
http://www.nytimes.com/2016/01/08/world/europe/paris-attacker-knife-police-station.html",Melee Attack,IS,FALSE (Unkown),NONE,INSPIRED,FALSE,1,1,0,0,0,0,,"Meat Cleaver, Fake explosive belt","Melee Attack, Fake explosive belt",Unkown,Uknown,ALONE
20160107LIB2,2016-01-7,Libya,A car bombing at a checkpoint in the Libyan oil port of Ras Lanuf left seven people dead and 11 wounded.[209],"http://www.reuters.com/article/us-libya-security-ports-idUSKBN0UL2F620160107
https://en.wikipedia.org/wiki/List_of_Islamist_terrorist_attacks#2016
https://en.wikipedia.org/wiki/List_of_terrorist_incidents_in_January_2016
http://www.aljazeera.com/news/2016/01/isil-attack-libyan-oil-terminal-reported-160104125643862.html
http://sputniknews.com/middleeast/20160107/1032817208/car-bomb-libya-daesh.html
https://www.yahoo.com/news/car-bomb-libyan-oil-port-kills-7-wounds-195603461.html?ref=gs
http://english.sina.com/news/2016/0107/879731.html
http://www.refworld.org/docid/56c428c115.html",Suicide Car Bomb,IS,TRUE (pretty sure),Second Libyan Civil War,Uknown,TRUE,8,12,1,1,0,0,ORGANIZED,Car Bomb,Suicide Car Bomb,Unkown,Uknown,ALONE
20160104AFG,2016-01-4,Afghanistan,"A Militant drove a truck packed with explosives to the armored gates of a compound for civilian contractors near Kabul's airport before detonating. 30 people injured, including children.[206]","https://www.yahoo.com/news/explosion-reported-near-kabul-airport-police-official-064051105.html?ref=gs
https://en.wikipedia.org/wiki/List_of_Islamist_terrorist_attacks#2016
https://en.wikipedia.org/wiki/List_of_terrorist_incidents_in_January_2016
http://www.reuters.com/article/us-afghanistan-blast-idUSKBN0UI0FT20160104
https://www.rt.com/news/327863-kabul-blast-airport-injured/
http://www.nytimes.com/2016/01/05/world/asia/bombings-near-kabul-airport-add-to-string-of-attacks-around-afghan-capital.html
http://news.xinhuanet.com/english/2016-01/05/c_134978992.htm
",Suicide Truck Bombing,Taliban,TRUE,War in Afghanistan,OFFICIAL,TRUE,3+,31+,0,9,0,0,ORGANIZED,Truck Bomb,Suicide Truck Bomb,Unkown,Uknown,ALONE
20160103IRA,2016-01-3,Iraq,Five Islamist suicide bombers attack an Iraqi military base. 15 dead and 22 injured.[205],"http://www.reuters.com/article/us-mideast-crisis-iraq-violence-idUSKBN0UH07F20160103
https://en.wikipedia.org/wiki/List_of_Islamist_terrorist_attacks#2016
https://en.wikipedia.org/wiki/List_of_terrorist_incidents_in_January_2016
http://www.bbc.com/news/world-middle-east-35217319",Suicide Bombing,IS,TRUE,Iraqi Civil War,OFFICIAL,TRUE,20,42,0,0,0,0,ORGANIZED,Bomb,Suicide bombs/suicide vehicle explosives,,,GROUP
20160102IND,2016-01-2,India,In the 2016 Pathankot attack suspected Jaish-e-Mohammed militants attacked an Indian air base killing 7 security force members. Several injured.[204],"https://www.rt.com/news/327690-india-airbase-gunbattle-terrorists/
https://en.wikipedia.org/wiki/List_of_terrorist_incidents_in_January_2016
https://en.wikipedia.org/wiki/List_of_Islamist_terrorist_attacks#2016
https://en.wikipedia.org/wiki/2016_Pathankot_attack
http://www.dnaindia.com/india/live-pathankot-terror-attack-one-injured-while-defusing-bomb-at-army-base-during-combing-2161739
http://indianexpress.com/article/india/india-news-india/pathankot-attack-terrorists-hid-overnight-in-airbase-shed/
http://thediplomat.com/2016/01/the-pathankot-airbase-attack-and-the-future-of-india-pakistan-relations/",Shooting,United Jihad Council,TRUE,Insurgency in Jammu and Kashmir,OFFICIAL,FALSE,14,34,0,0,0,0,ORGANIZED,Firearms,Shooting,,,GROUP
20160101AFG,2016-01-1,Afghanistan,A Taliban suicide bomber detonated himself in a French restaurant called 'Le Jardin' in Kabul. 2 dead 15 injured.[203],"https://www.yahoo.com/news/loud-explosion-rocks-downtown-kabul-131219510.html?ref=gs
http://web.archive.org/web/20160101161803/http://news.yahoo.com/loud-explosion-rocks-downtown-kabul-131219510.html
https://en.wikipedia.org/wiki/List_of_terrorist_incidents_in_January_2016
https://en.wikipedia.org/wiki/List_of_Islamist_terrorist_attacks#2016
http://www.dailymail.co.uk/wires/afp/article-3381180/Loud-explosion-rocks-downtown-Kabul.html
http://www.bbc.com/news/world-asia-35210281",Suicide Car Bombing,Taliban,TRUE,War in Afghanistan,OFFICIAL,TRUE,3,18,1,1,0,0,ORGANIZED,Car Bomb,Suicide Car Bombing,,,ALONE
20151229PAK,2015-12-29,Pakistan,"A suicide bomber detonated his explosives in the front entrance of a regional branch of the National Database and Registration Authority in the northwestern city of Mardan, Pakistan. The blast killed 26 people and more than 50 were wounded.[201]","https://www.yahoo.com/news/least-12-dead-nw-pakistan-suicide-blast-officials-101345180.html?ref=gs
https://en.wikipedia.org/wiki/List_of_terrorist_incidents,_July–December_2015
https://en.wikipedia.org/wiki/List_of_Islamist_terrorist_attacks#2015",Suicide Bombing,Tehrik-i-Taliban Pakistan,TRUE,War in North-West Pakistan,OFFICIAL,TRUE,27,50+,Unkown,Unkown,0,0,ORGANIZED,Bomb,Suicide Motorbike Bombing,,,ALONE
